time_ref,account,code,country_code,product_type,value,status
201512,Exports,0,SA,Goods,140147357,F
201512,Exports,0,SB,Goods,9665879,F
201512,Exports,0,SC,Goods,428617,F
201512,Exports,0,SD,Goods,11235222,F
201512,Exports,0,SE,Goods,15047359,F
201512,Exports,0,SG,Goods,225095214,F
201512,Exports,0,SI,Goods,627046,F
201512,Exports,0,SK,Goods,166957,F
201512,Exports,0,SL,Goods,1182836,F
201512,Exports,0,SM,Goods,12344,F
201512,Exports,0,SN,Goods,7921575,F
201512,Exports,0,SR,Goods,1365,F
201512,Exports,0,SV,Goods,5744033,F
201512,Exports,0,SX,Goods,470458,F
201512,Exports,0,SY,Goods,4997554,F
201512,Exports,0,TD,Goods,472709,F
201512,Exports,0,TG,Goods,114444,F
201512,Exports,0,TH,Goods,193649948,F
201512,Exports,0,TL,Goods,924964,F
201512,Exports,0,TN,Goods,1121191,F
201512,Exports,0,TO,Goods,17925230,F
201512,Exports,0,TR,Goods,37264206,F
201512,Exports,0,TT,Goods,13126751,F
201512,Exports,0,TV,Goods,1133987,F
201512,Exports,0,TW,Goods,223753411,F
201512,Exports,0,TZ,Goods,1325536,F
201512,Exports,0,UA,Goods,3054753,F
201512,Exports,0,UG,Goods,689212,F
201512,Exports,0,US,Goods,1335697298,F
201512,Exports,0,UY,Goods,9210606,F
201512,Exports,0,UZ,Goods,1316476,F
201512,Exports,0,VC,Goods,335833,F
201512,Exports,0,VE,Goods,40549756,F
201512,Exports,0,VG,Goods,41114,F
201512,Exports,0,VI,Goods,19196,F
201512,Exports,0,VN,Goods,150550716,F
201512,Exports,0,VU,Goods,16573101,F
201512,Exports,0,WF,Goods,357541,F
201512,Exports,0,WS,Goods,32631556,F
201512,Exports,0,YE,Goods,5636558,F
201512,Exports,0,YT,Goods,266380,F
201512,Exports,0,ZA,Goods,47116292,F
201512,Exports,0,ZB,Goods,60000000,F
201512,Exports,0,ZE,Goods,12495556,F
201512,Exports,0,ZM,Goods,42595,F
201512,Exports,0,ZP,Goods,66173359,F
201512,Exports,0,ZS,Goods,10277605,F
201512,Exports,0,ZW,Goods,1732966,F
201512,Imports,0,AE,Goods,90066071,F
201512,Imports,0,AF,Goods,19873,F
201512,Imports,0,AG,Goods,4372,F
201512,Imports,0,AI,Goods,5279,F
201512,Imports,0,AL,Goods,122750,F
201512,Imports,0,AM,Goods,19667,F
201512,Imports,0,AR,Goods,55440759,F
201512,Imports,0,AS,Goods,120559,F
201512,Imports,0,AT,Goods,50119534,F
201512,Imports,0,AU,Goods,1633824579,F
201512,Imports,0,AW,Goods,60,F
201512,Imports,0,BA,Goods,596474,F
201512,Imports,0,BB,Goods,68000,F
201512,Imports,0,BD,Goods,25463279,F
201512,Imports,0,BZ,Goods,331282,F
201512,Imports,0,CA,Goods,209494720,F
